lesson_id,match_id,date,category,lesson,rule_added,model_version
018,043,2026-06-20,game_state,"Brazil's blowout win did not inflate their corner count - 4 corners is well below their MD1 rate of 6.0, consistent with the blowout-eases-off rule even against a much weaker opponent.","Blowout-eases-off applies even in heavy mismatches, not just close games that turn into blowouts late - a bigger talent gap doesn't mean more corners.",v4.1
019,044,2026-06-20,style_classification,"Paraguay have produced 1 corner then 0 corners across two matches regardless of scoreline (lost 1-4, won 1-0) - looks like a confirmed low-output profile rather than a one-off outlier. Worth re-checking the low_sample_outlier flag once a 3rd match confirms the pattern.","A team producing near-zero corners across multiple matches regardless of result should be reclassified as a confirmed low-output profile, not discounted as an outlier.",v4.1
020,045,2026-06-21,game_state,"Fourth occurrence this tournament of a blowout winner taking fewer corners than the team being blown out (Australia/Turkiye/Paraguay pattern, now Netherlands/Sweden). This is recurring often enough to formalize rather than log as a one-off each time.","Consider adding an explicit rule: in a blowout where the favourite scores centrally/early, expect the LOSING team's corner count to meet or exceed the winner's, not just 'reduced corners for the winner' - this has now held in 4+ matches.",v4.1
021,046,2026-06-21,baseline_accuracy,"Pre-match research across multiple non-WC matches (not just the single WC sample) validated both teams' low-corner profiles ahead of the bet - and the result confirmed it. Worth formalizing: when n=1 WC data is backed by 2-3+ corroborating non-WC matches for the same team, treat as effectively upgraded confidence even before the official teams.csv backfill lands.",External multi-match research (non-tournament matches) can justify acting on an edge below the official odds floor when both the edge size and the data depth are unusually strong - this is the second floor-override of the tournament (after Canada-Qatar) and the second to pay off.,v4.1
022,047,2026-06-21,baseline_accuracy,"Whole-number lines carry real push risk when the edge is moderate rather than overwhelming - this landed exactly on 9.0. Ecuador's central_possession identity held again: 26 shots and 75% possession produced only 9 corners, consistent with the model's now-repeated finding that central teams underdeliver corners relative to territorial dominance.","On whole-number total lines with edge under 2.5-3.0, factor in push risk explicitly when sizing - a push isn't a loss but it also isn't the win the edge size might suggest.",v4.1
023,048,2026-06-21,market_selection,"CT correctly forbade AH (Ivory Coast's early goal would have flipped it, as the model predicted) but the skip-lean on the total market itself was too cautious - Germany's wide threats still generated 8 corners even while chasing a goal back, total landed well over.","Refine: CT should strongly forbid AH regardless of edge, but should only demote the TOTAL market tier when the edge is below ~1.0 - at edge >=1.5 with CT present, the total market read may survive even if AH doesn't. Needs more matches to confirm before changing Step 3 rules formally.",v4.1
024,049,2026-06-22,baseline_accuracy,"Largest nominal edge of the tournament so far (+4.15) still lost because the underlying scoring mechanism (individual quality vs crossing) overrode the aggregate corner-average edge. Group-stage context (no dead rubber, Spain motivated to respond to the shock draw) didn't help here - it's not a universal fix for thin data, just one more input.","Candidate: when an edge is large but driven by aggregate corner averages from unrelated opponents, weight 'how does the favourite typically score' (individual quality vs sustained wide play) at least as heavily as the raw edge size before trusting it at LOW data confidence - even when group-stage context looks favourable.",v4.1
025,050,2026-06-22,style_classification,"Egypt's counter-attacking goals came despite majority possession (56%) - a reminder that CT isn't just about low-possession teams, a team can dominate the ball and still win/score on isolated transitions, suppressing corners for both sides in the process.",,v4.1
026,051,2026-06-22,style_classification,"Uruguay are tagged central_possession, but produced 11 corners against a genuine pure_deep_block opponent (Cape Verde) - far closer to a wide_possession-style output than their style label suggests. This is the second signal (after early-tournament patterns) that the Tier 1 'wide possession only' requirement in Step 5 may be too narrow when the opponent is a true deep block.","Candidate: test relaxing Step 5 Tier 1 criteria to allow central_possession teams vs pure_deep_block opponents, not just wide_possession - needs 2-3 more cases before changing the actual rule.",v4.1
027,052,2026-06-22,game_state,"The matchup-logic concern we flagged (wide team vs deep block usually inflates corners) didn't materialize here - Belgium's wide threats were neutralised entirely, even playing extra time a man down. Worth tracking whether this was Iran-specific defensive discipline or a genuine exception to the wide_vs_deep pattern.",,v4.1
